symbol,price,rs_raw,pct_off_high,adv50,vol_pct_chg,price_day_chg,ad_raw,history_days,rs_rating,ad_rating,name,sector,industry,market_cap,last_sale,country,ipo_year,industry_rank,group_grade,eps_q0_growth,eps_q1_growth,eps_annual_growth,eps_stability,sales_growth,eps_source,eps_rating,eps_rs_sum
DK,63.20000076293945,10.033060176618132,-5.938385970362658,1176839.56,-29.40601011067303,-2.439021374082484,0.010748572980797785,721,97,A-,Delek US Holdings Inc. Common Stock,Energy,Integrated oil Companies,3873372654.0,63.2,United States,2017,1,A+,999.0,999.0,999.0,999.0,0.4239373178394338,reported,96,193
MPC,309.239990234375,8.073454087674921,-3.2899734832260163,2347223.3,-27.681997703414062,-0.9703137944403029,0.004445456033397595,721,94,B-,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies,90278485007.0,309.24,United States,,1,A+,999.0,428.57142857142856,999.0,999.0,8.512866072278454,reported,95,189
PSX,206.77000427246094,7.409997473468931,-2.591039661421224,2582250.9,-35.55835337302041,-0.10145495188557119,0.004944206574418024,721,91,B,Phillips 66 Common Stock,Energy,Integrated oil Companies,82901334085.0,206.77,United States,,1,A+,999.0,999.0,999.0,999.0,6.933946763062767,reported,96,187
VLO,302.5,8.290079755960743,-3.907238967575166,3029659.1,-27.491677198929743,-0.9041504544745615,0.005212424227167813,721,94,B,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies,89822166555.0,302.5,United States,,1,A+,374.15730337078645,496.8749999999999,999.0,0.6956442246154815,7.016326260823584,reported,98,192
ARW,212.27000427246094,7.378240383536007,-9.606948593742393,633466.08,-48.55225713111584,-1.3202530472002372,0.0009759064201134985,721,91,C-,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,10854202717.0,212.27,United States,,4,A+,190.0,47.81144781144779,8.342411503229808,0.31808287496928783,39.030295932634154,reported,88,179
AVT,89.41999816894531,7.4672658358064545,-3.777038765418983,1308094.64,-47.1114719956348,-0.5560498333869845,0.002397740152585592,721,91,C+,Avnet Inc. Common Stock,Technology,Electronic Components,7334593323.0,89.42,United States,,4,A+,76.1904761904762,20.689655172413797,13.491846361759642,0.23851752915996446,33.94567092778881,reported,87,178
BAP,388.4200134277344,7.028014753583948,-3.091236298078648,490050.34,-73.95838966258039,0.20380479709269927,0.005429603027207718,721,88,B,Credicorp Ltd. Common Stock,Finance,Commercial Banks,36659979569.0,388.42,Peru,,7,A+,25.247524752475254,56.46437994722954,53.47881826097422,0.18220693451903702,11.099374097925075,reported,94,182
PGC,46.380001068115234,7.256906523221645,-4.0347624437424905,182046.94,-6.317019116058753,1.532400959419733,3.434586218223543e-05,721,90,D+,Peapack-Gladstone Financial Corporation Common Stock,Finance,Commercial Banks,821778372.0,46.38,United States,,7,A+,86.04651162790698,41.99999999999999,2.89698371135505,0.23438360280493303,28.424216401889225,reported,85,175
RY,209.08999633789062,6.6555330098150005,-4.029925632749154,1580536.2,91.46097381382343,0.30221126534268894,0.0008891035632168958,721,85,C-,Royal Bank Of Canada Common Stock,Finance,Commercial Banks,290588532939.0,209.09,Canada,,7,A+,24.999999999999993,12.707182320441987,9.442924858406831,0.05327259790467023,11.32473173224323,reported,85,170
ASC,16.610000610351562,6.679905223893908,-13.57148450421497,657612.34,-49.815874805512316,0.18094503488272906,0.00041613476926665805,721,85,D+,Ardmore Shipping Corporation Common Stock,Consumer Discretionary,Marine Transportation,677731419.0,16.61,,2013,8,A+,314.2857142857142,12.00000000000001,999.0,0.5155604818460765,18.811827666360344,reported,92,177
