symbol,name,industry,industry_rank,price,pct_off_high,rs_rating,eps_rating,ad_rating
A,Agilent Technologies Inc. Common Stock,Biotechnology: Laboratory Analytical Instruments,31,143.1199951171875,-9.987424454599058,65,77,C-
AA,Alcoa Corporation Common Stock,Aluminum,,48.29999923706055,-42.24402397135144,43,66,E+
AACG,ATA Creativity Global American Depositary Shares,Other Consumer Services,132,0.9200000166893005,-63.921567298320085,25,40,A+
AADX,Applied Aerospace & Defense Inc. Common Stock,Military/Government/Technical,98,11.539999961853027,-51.61425669905214,13,,E-
AAL,American Airlines Group Inc. Common Stock,Air Freight/Delivery Services,65,12.850000381469727,-29.20109833858896,46,22,D
AAME,Atlantic American Corporation Common Stock,Life Insurance,10,1.2999999523162842,-62.31884248265194,12,,A
AAMI,Acadian Asset Management Inc. Common Stock,Investment Managers,46,92.05000305175781,-5.40539989600628,94,95,C-
AAOI,Applied Optoelectronics Inc. Common Stock,Semiconductors,41,103.29000091552734,-53.70237647254834,97,34,D
AAON,AAON Inc. Common Stock,Industrial Machinery/Components,93,76.5199966430664,-48.282209721489146,25,90,E
AAP,Advance Auto Parts Inc.,Auto & Home Supply Stores,107,43.310001373291016,-31.15186784504439,23,72,E-
AAPG,Ascentage Pharma Group International American Depository Shares,Biotechnology: Pharmaceutical Preparations,62,16.670000076293945,-58.79881252223904,19,,D+
AAPL,Apple Inc. Common Stock,Computer Manufacturing,81,326.57000732421875,-3.8897667695514504,77,79,C+
AARD,Aardvark Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,62,5.010000228881836,-71.22343324071572,42,26,B+
AAT,American Assets Trust Inc. Common Stock,Real Estate Investment Trusts,57,21.3799991607666,-16.017336158809247,57,44,D-
AAUC,Allied Gold Corporation Common Shares,,,22.479999542236328,-29.771944014398844,48,37,C
ABAT,American Battery Technology Company Common Stock,Mining & Quarrying of Nonmetallic Minerals (No Fuels),98,2.559999942779541,-77.40511950557753,26,1,C
ABBV,AbbVie Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,62,255.0,-4.124525762437459,72,68,B-
ABCB,Ameris Bancorp Common Stock,Major Banks,12,84.62000274658203,-9.176768906724197,59,76,D+
ABCL,AbCellera Biologics Inc. Common Shares,Biotechnology: Pharmaceutical Preparations,62,10.460000038146973,-16.319999694824215,98,7,A
ABEO,Abeona Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,62,5.480000019073486,-26.54155507974111,47,7,E-
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Beverages (Production/Distribution),119,3.0399999618530273,-11.117118419595172,66,76,C
ABG,Asbury Automotive Group Inc Common Stock,Retail-Auto Dealers and Gas Stations,86,208.80999755859375,-18.443151757934327,42,60,C+
ABLV,Able View Global Inc. Class B Ordinary Shares,Other Consumer Services,132,0.949999988079071,-22.764229809144965,52,,B
ABM,ABM Industries Incorporated Common Stock,Diversified Commercial Services,65,49.06999969482422,-3.023713093745206,67,67,B
ABNB,Airbnb Inc. Class A Common Stock,Diversified Commercial Services,65,167.64999389648438,-11.994753860113194,85,73,B
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances),51,2.859999895095825,-15.13353138819612,87,7,B+
ABR,Arbor Realty Trust Common Stock,Real Estate Investment Trusts,57,4.809999942779541,-55.968144184463306,19,39,C-
ABSI,Absci Corporation Common Stock,Biotechnology: Commercial Physical & Biological Resarch,7,8.239999771118164,-29.08778096152531,98,7,B+
ABT,Abbott Laboratories Common Stock,Biotechnology: Pharmaceutical Preparations,62,103.36000061035156,-22.596224495369466,45,67,B-
ABTC,American Bitcoin Corp. Class A Common Stock,Finance: Consumer Services,114,8.029999732971191,-93.96467527336513,7,17,D
ABTS,Abits Group Inc Ordinary Shares,Finance: Consumer Services,114,1.4229999780654907,-86.14410988667713,15,,A
ABUS,Arbutus Biopharma Corporation Common Stock,Biotechnology: Pharmaceutical Preparations,62,5.119999885559082,-1.91570706229659,73,65,A-
ABVC,ABVC BioPharma Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,62,0.9760000109672546,-70.33434582724001,13,7,B
ABVX,Abivax SA American Depositary Shares,Biotechnology: Pharmaceutical Preparations,62,115.94999694824219,-20.20507955656159,69,17,B-
ABX,Abacus Global Management Inc. Class A Common Stock,Investment Managers,46,9.529999732971191,-20.583335558573403,72,88,C+
ACA,Arcosa Inc. Common Stock,Metal Fabrications,47,145.25,-0.27462678561364084,84,76,C+
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations,62,27.739999771118164,-9.257441779383468,76,55,B
ACB,Aurora Cannabis Inc. Common Shares,Medicinal Chemicals and Botanical Products,129,3.7300000190734863,-40.128410792072444,43,22,A-
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,Professional Services,41,2.6700000762939453,-40.79822747689931,84,,A+
ACCO,Acco Brands Corporation Common Stock,Publishing,78,4.199999809265137,-4.977381521071667,71,55,C+
ACCS,ACCESS Newswire Inc. Common Stock,Professional Services,41,5.019999980926514,-54.36363653703169,16,44,E
